company_name,website,technology,country,founded,description,source_repo,source_file,source_downloaded_at
Abacus Semiconductor,Abacus-semi.com,HPC,US,2020,HPC silicon systems,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Agentrys,agentrys.ai,EDA,US,2025,Self-Improving Agentic Design Automation Toward Autonomous Design,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Ahead Computing,aheadcomputing.com,RISC-V,US,2024,High performance RISC-V core IP,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Aistorm,aistorm.ai,AI,US,2011,Charge domain based AI processing,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Akeana,akeana.com,RISC-V,US,2021,RISC-V CPU and System IP,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Alif Semiconductor,alifsemi.com,AI,US,2019,Integrated SoC for AI at the edge,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Allspice.io,allspice.io,EDA,US,2018,PCB Design platform,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Alpha Design AI,alphadesign.ai,EDA,US,2024,AI agent based chip design platform,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Applied Brain Research,appliedbrainresearch.com,AI,CA,2013,AI solutions for edge devices,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Aspinity,aspinity.com,AI,US,2015,Analog in-memory AI inference accelerators,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Astrus,astrus.ai,EDA,CA,2022,AI platform designed to automate microchip design,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Athos Silicon,athossilicon.com,CHIPLETS,US,2025,Chiplet platform for automotive/safety critical applications,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Atoms AI,atomsai.net,EDA,US,2024,AI driven verification,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Aule Technologies,auletechnologies.com,EDA,US,2022,AI/physics based design platform,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Azimuth AI,Azimuth-ai.com,ASIC,US,2023,Edge AI ASICs,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Baya Systems,bayasystems.com,CHIPLETS,US,2023,Chiplet Based Semiconductor Design,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Bluespec,bluespec.com,RISC-V,US,2003,RISC-V IP and System Development Tools,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Blumind,blumind.ai,AI,CA,2020,Analog AI computing,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
BoolSi,boolsi.com,EDA,US,2023,"Generate RTL from any code base, in any language",https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Bronco AI,bronco.ai,EDA,US,2022,AI tools for chip development,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
cadlab.io,cadlab.io,EDA,US,2015,Collaboration tools for PCB design,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Cadstrom,cadstrom.io,EDA,CA,2023,AI based PCB design,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
cassia.ai,cassia.ai,AI,US,2021,AI Hardware IP,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Celera,celeratechnologies.com,EDA,US,2018,Automated analog/mixed-signal IC development tool,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Ceremorphic,ceremorphic.com,HPC,US,2020,Analog computing architecture,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Chipletz,chipletz.com,CHIPLETS,US,2021,Smart substrate for chiplet integration,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Cognichip,cognichip.ai,EDA,US,2024,AI platform for chip design,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Condor Computing,condorcomputing.com,RISC-V,US,2023,High performance RISC-V processors,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Cornami,cornami.com,HPC,US,2011,Acceleration for full homomorphic encryption,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
